Abstract	الملخص
Accepted_contribution	مساهمة مقبولة
Active_conference_participant	مشارك ايجابي في المؤتمر
Conference_applicant	طلب مقدم للمؤتمر
Early_paid_applicant	مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر
Late_paid_applicant	طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر
Paid_applicant	طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر
Regular_author	كاتب المساهمة
Call_for_paper	الدعوة لتقديم الأبحاث
Call_for_participation	دعوة للمشاركة
Camera_ready_contribution	نسخة جاهزة للتصوير مساهمة
Chair	رئيس
Track-workshop_chair	رئيس مسار ورشة العمل
Contribution_co-author	الكاتب المشرك في المساهمة
Co-chair	الرئيس المشترك
Committee	اللجنة
has_a_commtitee	لجنة المؤتمر هي
Conference	المؤتمر
Conference_announcement	إعلان المؤتمر
Conference_contribution	مساهمة المؤتمر
Conference_document	وثيقة المؤتمر
Conference_volume	سلسله المؤتمر
contributes	يساهم في المؤتمر
Conference_contributor	مساهمة للمؤتمر
is_an_abstract_submission_date	تاريخ ارسال الملخصات
is_a_date_of_acceptance_announcement	تاريخ إخطار القبول
is_a_date_of_camera_ready_paper_submission	تاريخ الارسال بعد إجراء التعديل
is_a_full_paper_submission_date	تاريخ ارسال البحث كامل
has_a_degree	درجة تفضيل مراجعة
has_an_expertise	درجة خبرة المراجع
Review_expertise	خبرة المراجع
Extended_abstract	ملخص موسع
Conference_fees	رسوم من اجل المؤتمر
Contribution_1th-author	المؤلف الأول للمساهمة
has_an_abstract	لديه ملخص
has_authors	لديه الكاتب
has_been_assigned_a_review_reference	تم تسنيد افضلية المراجعة
has_a_committee_chair	لديه رئيس اللجنة
has_a_committee_co-chair	لديه رئيس مشترك لللجنة
has_contributions	لديه مساهمة
has_an_email	لديه بريد الكتروني
has_the_first_name	لديه الاسم الأول
has_gender	لديه الجنس
has_important_dates	لديه تاريخ مهم
has_members	لديه عضو
has_a_name	لديه اسم
has_parts	لديه جزء
has_a_review	لديه مراجعة
has_a_review_expertise	لديه خبرة المراجعة
has_a_submitted_contribution	لديه مساهمة مرسلة
has_the_last_name	لديه اللقب
has_a_topic_or_a_submission_contribution	لديه موضوع أو مساهمة مرسلة
has_tracks	لديه المسار
has_tutorials	لديه البرنامج التعليمي
has_workshops	لديه ورشة عمل
has_a_track-workshop-tutorial_chair	لديه رئيس ورشة عمل
has_a_track-workshop-tutorial_topic	لديه موضوع ورشة عمل
Important_dates	تاريخ مهم
belong_to_a_conference_volume	تاريخ مهم من سلسلة المؤتمر
Information_for_participants	معلومات للمشاركين
invited_by	مدعو من المراجع
Invited_speaker	متحدث المدعو
Invited_talk	دعت الحديث
invites_co-reviewers	يدعو المراجع المشترك
was_a_committee_chair_of	هو رئيس الجنة
was_a_committe_co-chair_of	هو الرئيس المشترك للجنة
was_a_committee_of	هي لجنة المؤتمر
was_a_member_of	هو عضو في
was_an_organizing_committee_of	اللجنة المنظمة للمؤتمر
is_part_of_conference_volumes	جزء من المؤتمر
was_a_program_committee_of	انها اللجنة العلمية للمؤتمر
was_a_steering_committee_of	اللجنة التوجيهية للمؤتمر
is_the_1th_part_of	هو الجزء الأول من
is_a_topis_of_conference_parts	موضوع هو جزء من مؤتمر
was_a_track-workshop_chair_of	انه رئيس ورشة عمل ل
has_an_ISBN	ISBN محضر
has_a_location	موقع المؤتمر
gives_presentations	يجعل العرض التقديمي
Committee_member	عضو  في اللجنة
Organization	المنظمة
Organizer	منظم
Organizing_committee	اللجنة المنظمة
has_an_organizing_committee	اللجنة المنظمة للمؤتمر هي
Paper	البحث
Conference_part	جزء من المؤتمر
Conference_participant	المشارك في المؤتمر
Passive_conference_participant	مشارك السلبي في المؤتمر
Person	شخص
Poster	ملصق
Review_preference	افضلية المراجع
has_a_review_reference_or_expertise	افضلية أو خبرة المراجعة هي
belongs_to_reviewers	أفضلية أو خبرة المراجع
Presentation	العرض التقديمي
is_given_by	مقدم من قبل
Conference_proceedings	محضر المؤتمر
Program_committee	اللجنة العلمية
has_a_program_committee	الجنة العلمية للمؤتمرهي
has_a_date_of_issue	نشرت بتاريخ
Publisher	الناشر
has_a_publisher	منشر المحضر هو
issues	ينشر
Registeered_applicant	مقدم الطلب مسجل
Regular_contribution	مساهمة منتظمة
Rejected_contribution	مساهمة مرفوضة
Review	مراجعة
Reviewed_contribution	مساهمة مراجعة
Reviewer	المراجع
reviews	مساهمة المراجعة
is_a_starting_date	تاريخ البداية
Steering_committee	اللجنة التوجيهية
has_a_steering_committee	اللجنة التوجيهية للمؤتمر هي
Submitted_contribution	مساهمة مرسلة
is_submitted_at	مرسلة إلى
is_an_ending_date	اليوم محطة
Topic	الموضوع
belongs_to_a_review_reference	موضوع مرتبط بافضلية المراجعة
Track	مسار المؤتمر
Tutorial	البرنامج التعليمي
has_a_URL	URL  لشبكة الإنترنت العنكبوتية المؤتمرهو
has_a_volume	رقم حجم المحضر
Conference_www	شبكة الإنترنت العنكبوتية للمؤتمر
Workshop	ورشة عمل
Written_contribution	مساهمة خطية
