Committee	výbor
Organizing_committee	organizační výbor
Program_committee	programový výbor
Steering_committee	řídící výbor
Conference	konference
Conference_volume	konference
Conference_document	dokument konference
Call_for_paper	výzva na psaní článku
Call_for_participation	výzva k účasti na konferenci
Conference_announcement	konferenční oznámení
Conference_contribution	konferenční příspěvek
Poster	poster
Presentation	prezentace
Invited_talk	zvaná přednáška
Written_contribution	psaný příspěvek
Regular_contribution	řádný příspěvek
Extended_abstract	rozšířený abstrakt
Abstract	abstrakt
Paper	článek
Submitted_contribution	poslaný příspěvek
Reviewed_contribution	recenzovaný příspěvek
Accepted_contribution	přijatý příspěvek
Camera_ready_contribution	kamera-ready verze příspěvku
Rejected_contribution	zamítnutý příspěvek
Conference_www	webové stránky konference
Information_for_participants	informace pro účastníky
Review	recenze
Conference_fees	konferenční poplatky
Conference_part	konferenční akce
Track	sekce konference
Tutorial	tutoriál
Workshop	workshop
Conference_proceedings	sborník konference
Important_dates	důležité termíny
Organization	organizace
Organizer	organizátor
Person	osoba
Committee_member	člen výboru
Chair	předseda
Co-chair	spolupředseda
Conference_applicant	zájemce o konferenci
Paid_applicant	přihlášený zájemce o konferenci
Early_paid_applicant	časně přihlášený zájemce o konferenci
Late_paid_applicant	pozdně přihlášený zájemce o konferenci
Conference_contributor	přispěvatel konference
Active_conference_participant	aktivní účastník konference
Invited_speaker	zvaný přednášející
Regular_author	řádný autor příspěvku
Contribution_1th-author	hlavní autor příspěvku
Contribution_co-author	spoluautor příspěvku
Conference_participant	účastník konference
Active_conference_participant	aktivní účastník konference
Passive_conference_participant	pasivní účastník konference
Reviewer	recenzent
Track-workshop_chair	předseda workshopu
Publisher	vydavatel
Review_expertise	odbornost experta
Review_preference	preference experta
Topic	téma
Registeered_applicant	registrovaný zájemce o konferenci
belong_to_a_conference_volume	důležitý den konference
belongs_to_a_review_reference	téma svázané s preferovaným tématem
belongs_to_reviewers	preference či odbornost koho
contributes	přispěl konferenci
gives_presentations	prezentoval
has_a_commtitee	konference má výbor
has_a_program_committee	konference má programový výbor
has_a_steering_committee	konference má řídicí výbor
has_an_organizing_committee	konference má organizační výbor
has_a_publisher	vydavatelem sborníku je
has_a_review	má  recenzi
has_a_review_expertise	má recenzní posudek
has_a_review_reference_or_expertise	preference nebo odbornost recenzenta
has_a_submitted_contribution	má odeslaný příspěvek
has_a_topic_or_a_submission_contribution	tématem nebo odeslaným příspěvkem je
has_a_track-workshop-tutorial_chair	má předsedu workshopu
has_a_track-workshop-tutorial_topic	má téma workshopu
has_an_abstract	má abstrakt
has_authors	má autora
has_been_assigned_a_review_reference	byl přiřazen zájem recenzenta
has_contributions	má příspěvek
has_important_dates	má důležitý den
has_members	má člena
has_a_committee_chair	má předsedu výboru
has_a_committee_co-chair	má spolupředsedu výboru
has_parts	má část
has_tracks	má sekci
has_tutorials	má tutoriál
has_workshops	má workshop
invited_by	pozván recenzentem
invites_co-reviewers	pozvat spolurecenzenta
is_a_topis_of_conference_parts	téma sekce konference
is_given_by	prezentováno kým
is_part_of_conference_volumes	částí konference
is_submitted_at	posláno kam
is_the_1th_part_of	první částí dokumentu
issues	publikuje
reviews	recenzuje příspěvek
was_a_committee_of	být výborem konference
was_a_program_committee_of	být programovým výborem konference
was_a_steering_committee_of	být řídicím výborem konference
was_an_organizing_committee_of	být organizačním výborem konference
was_a_member_of	být členem výboru
was_a_committe_co-chair_of	být spolupředsedou výboru
was_a_committee_chair_of	být předsedou výboru
was_a_track-workshop_chair_of	být předsedou workshopu čeho
has_a_URL	URL webových stránek konference
has_a_date_of_issue	publikováno dne
has_a_degree	stupeň preference recenze
has_a_location	místo konání konference
has_a_name	má název
has_a_volume	číslo svazku sborníku
has_an_ISBN	ISBN sborníku
has_an_email	e-mail	email
has_an_expertise	stupeň odbornosti recenzenta
has_gender	pohlaví
has_the_first_name	křestní jméno
has_the_last_name	příjmení
is_a_date_of_acceptance_announcement	den oznámení přijetí příspěvku
is_a_date_of_camera_ready_paper_submission	den odeslání kamera-ready verze příspěvku
is_a_full_paper_submission_date	den odeslání řádného příspěvku
is_a_starting_date	počáteční den
is_an_abstract_submission_date	den odeslání abstraktu
is_an_ending_date	finální den
